PF02903	IPR004185
PF09071	IPR015156
PF07821	IPR012850
PF06964	IPR010720
PF09261	IPR015341
PF08829	IPR014933
PF02883	IPR008152
PF02296	IPR003164
PF01589	IPR002548
PF00943	IPR000936
PF01563	IPR002533
PF03229	IPR004913
PF02816	IPR004166
PF01120	IPR000933
PF02232	IPR003174
PF09608	IPR019088
PF10369	IPR019455
PF06838	IPR009651
PF02430	IPR003298
PF07344	IPR009944
PF03913	IPR005611
PF05111	IPR007798
PF02948	IPR004116
PF04709	IPR006799
PF01425	IPR000120
PF01510	IPR002502
PF01520	IPR002508
PF05382	IPR008044
PF02274	IPR003198
PF01979	IPR006680
PF04909	IPR006992
PF07969	IPR013108
PF09663	IPR014086
PF10706	IPR019646
PF00155	IPR004839
PF00202	IPR005814
PF01063	IPR001544
PF00266	IPR000192
PF01593	IPR002937
PF02293	IPR003211
PF01871	IPR002733
PF00909	IPR001905
PF10423	IPR018953
PF02461	IPR003393
PF05145	IPR007820
PF04896	IPR006980
PF03782	IPR005533
PF00501	IPR000873
PF04739	IPR006828
PF05195	IPR007865
PF01821	IPR000020
PF02166	IPR001103
PF06369	IPR009104
PF03139	IPR004349
PF09582	IPR014287
PF01094	IPR001828
PF00023	IPR002110
PF07260	IPR009887
PF00191	IPR018502
PF10731	IPR018932
PF00212	IPR000663
PF03452	IPR005109
PF03374	IPR005039
PF08346	IPR013557
PF03861	IPR005561
PF07651	IPR011417
PF09156	IPR015239
PF03497	IPR005165
PF05587	IPR008400
PF04715	IPR006805
PF10796	IPR019732
PF02522	IPR003679
PF08264	IPR013155
PF09255	IPR015335
PF08105	IPR012513
PF08106	IPR012514
PF08107	IPR012515
PF08108	IPR012516
PF08109	IPR012517
PF08110	IPR012518
PF08128	
PF08129	IPR012950
PF08130	IPR012519
PF08225	IPR013156
PF08256	IPR013157
PF08018	IPR012520
PF08023	IPR012521
PF08025	IPR012522
PF08024	IPR012523
PF08026	IPR012524
PF08036	IPR012525
PF08102	IPR012526
PF08103	IPR012527
PF08104	IPR012528
PF03230	IPR004914
PF02822	IPR004094
PF03589	IPR003222
PF05586	IPR008399
PF03098	IPR002007
PF01786	IPR002680
PF00847	IPR001471
PF02558	IPR013332
PF08546	IPR013752
PF02424	IPR003374
PF03256	IPR004939
PF05839	IPR008401
PF05841	IPR008402
PF08672	IPR014786
PF04049	IPR007192
PF05972	IPR009240
PF05956	IPR009234
PF10471	IPR018860
PF05923	IPR009223
PF04110	IPR007242
PF04108	IPR007240
PF04106	IPR007239
PF04111	IPR007243
PF04109	IPR007241
PF01636	IPR002575
PF06105	IPR009294
PF05875	IPR008901
PF04655	IPR006748
PF05918	IPR008383
PF00807	IPR004828
PF05355	IPR008019
PF05778	IPR008403
PF05418	IPR008404
PF04711	IPR006801
PF05240	IPR007904
PF08210	IPR013158
PF04691	IPR006781
PF01333	IPR002325
PF05461	IPR008405
PF01442	IPR000074
PF07464	IPR010009
PF09769	IPR019166
PF10515	IPR019543
PF01583	IPR002891
PF03440	IPR005138
PF10351	IPR019443
PF06079	IPR009283
PF01261	IPR012307
PF07582	IPR011418
PF09206	IPR015289
PF02610	IPR003762
PF04602	IPR007680
PF02311	
PF06445	IPR010499
PF06719	IPR009594
PF09692	IPR018606
PF09757	IPR019154
PF03869	IPR005569
PF09606	IPR019087
PF10232	IPR019364
PF01637	IPR011579
PF01917	IPR002774
PF04659	IPR006752
PF06819	IPR009639
PF06847	IPR009655
PF08394	IPR013603
PF03079	IPR004313
PF07275	IPR009899
PF07573	IPR011420
PF00798	IPR001535
PF00843	IPR000229
PF06317	IPR010453
PF00025	IPR006689
PF06456	IPR010504
PF01412	IPR001164
PF00491	IPR006035
PF00764	IPR001518
PF01960	IPR002813
PF03308	IPR005129
PF01316	
PF02863	IPR020899
PF03485	IPR005148
PF01388	IPR001606
PF06770	IPR010639
PF00514	IPR000225
PF10208	IPR019345
PF04683	IPR006773
PF07302	IPR010843
PF05856	IPR008384
PF02752	IPR011022
PF00339	IPR011021
PF04959	IPR007042
PF02374	
PF02040	IPR000802
PF03960	IPR006660
PF06953	IPR010712
PF09824	IPR014517
PF01129	IPR000768
PF01606	IPR002556
PF00951	IPR001332
PF02497	IPR003412
PF01481	IPR002484
PF04161	IPR007290
PF01731	IPR002640
PF05935	IPR010262
PF00858	IPR001873
PF04266	IPR007374
PF08688	IPR014800
PF08687	IPR014799
PF04729	IPR006818
PF01671	IPR002595
PF05568	IPR008385
PF05293	IPR007957
PF06556	IPR010549
PF09010	IPR015100
PF08328	IPR013539
PF05170	IPR007844
PF03590	IPR004618
PF01037	IPR019887
PF00733	IPR001962
PF00026	IPR001461
PF06826	IPR006512
PF05279	IPR007943
PF00710	IPR006034
PF01112	IPR000246
PF06089	IPR010349
PF05118	IPR007803
PF02261	IPR003190
PF01177	IPR015942
PF09668	IPR019103
PF06392	IPR009435
PF04958	IPR007041
PF01400	IPR001506
PF04996	IPR007079
PF04952	IPR007036
PF03115	IPR004337
PF04377	IPR007472
PF04376	IPR007471
PF10377	IPR019460
PF10033	IPR018731
PF08614	IPR013923
PF09451	IPR018939
PF09795	IPR018621
PF09333	IPR015412
PF03078	IPR004312
PF07737	IPR014781
PF03477	IPR005144
PF02222	IPR003135
PF08442	IPR013650
PF02655	IPR003806
PF00217	IPR022414
PF02807	IPR022413
PF01747	IPR002650
PF00231	IPR000131
PF05176	IPR007849
PF00895	IPR001421
PF00119	IPR000568
PF00006	IPR000194
PF00306	IPR000793
PF02874	IPR004100
PF00430	IPR002146
PF00137	IPR002379
PF01813	IPR002699
PF00401	IPR020547
PF02823	IPR020546
PF05680	IPR008386
PF04627	IPR006721
PF08112	IPR012508
PF01990	IPR008218
PF05511	IPR008387
PF04718	IPR006808
PF04911	IPR006995
PF05827	
PF06644	IPR010591
PF07542	IPR011419
PF02038	IPR000272
PF09527	
PF03029	IPR004130
PF03668	IPR005337
PF01171	IPR011063
PF01902	IPR002761
PF10775	IPR019711
PF05493	IPR008389
PF03899	IPR005598
PF09830	IPR019200
PF05353	IPR008017
PF03154	IPR002951
PF06232	IPR010417
PF03769	IPR005521
PF03768	IPR005520
PF08037	IPR012529
PF09759	IPR019156
PF08098	IPR012509
PF02178	IPR017956
PF09041	IPR015128
PF03472	IPR005143
PF00765	IPR001690
PF03987	IPR007135
PF10381	IPR019461
PF03986	IPR007134
PF03797	IPR005546
PF06677	IPR009563
PF02041	IPR000526
PF02519	IPR003676
PF05564	IPR008406
PF06507	IPR010525
PF02309	IPR003311
PF03708	IPR005166
PF01382	IPR005468
PF03377	IPR005042
PF09794	IPR018307
PF05394	IPR008798
PF05655	IPR008799
PF09143	IPR015226
PF09046	IPR015133
PF06536	IPR010537
PF05512	IPR008390
PF05448	IPR008391
PF08517	IPR013723
PF08833	IPR014936
PF10211	IPR019347
PF03591	IPR011606
PF05437	IPR008407
PF01356	IPR000833
PF02137	IPR002466
PF00962	IPR001365
PF08451	IPR013659
PF09713	IPR006476
PF02216	IPR003132
PF04182	IPR007309
PF02246	IPR003147
PF02310	IPR006158
PF02607	IPR003759
PF06522	IPR010530
PF09066	IPR015151
PF02362	IPR003340
PF03483	IPR005146
PF03484	IPR005147
PF01603	IPR002554
PF07162	IPR010796
PF07886	IPR012413
PF06989	IPR009728
PF08840	IPR014940
PF02673	IPR003824
PF05791	IPR008414
PF05968	IPR009239
PF07707	IPR011705
PF10432	IPR019490
PF01721	IPR002633
PF10439	IPR019493
PF09221	IPR009086
PF08379	IPR013589
PF06143	IPR009313
PF04798	IPR006883
PF04631	IPR006725
PF06096	IPR009289
PF04786	IPR006871
PF05274	
PF04639	IPR006733
PF04850	IPR006934
PF03258	IPR004941
PF04700	IPR006790
PF03273	IPR004955
PF04735	IPR006824
PF05290	IPR007954
PF07206	IPR009855
PF06385	IPR009429
PF03041	IPR004283
PF05847	IPR008415
PF04838	IPR006923
PF06061	IPR010336
PF05314	IPR007978
PF05073	IPR007765
PF04766	IPR006853
PF05214	IPR007879
PF05112	IPR007799
PF04878	IPR006962
PF04583	IPR007663
PF08404	IPR013613
PF04513	IPR007601
PF04512	IPR007600
PF05311	IPR007975
PF05883	IPR008573
PF05789	IPR008416
PF04501	IPR007589
PF08475	IPR013682
PF04913	IPR006997
PF05468	
PF02043	IPR001470
PF00308	IPR013317
PF08299	IPR013159
PF00216	IPR000119
PF01311	IPR002010
PF01312	IPR006135
PF01313	IPR002191
PF05088	IPR007780
PF01152	IPR001486
PF00296	IPR016048
PF05592	IPR008902
PF08531	IPR013737
PF01036	IPR001425
PF09501	IPR012655
PF01103	IPR000184
PF01338	IPR001615
PF02397	IPR003362
PF01654	IPR002585
PF02961	IPR004122
PF04684	IPR006774
PF09256	IPR015336
PF02179	IPR003103
PF08180	IPR012530
PF01426	IPR001025
PF06861	IPR010677
PF06211	IPR009345
PF02923	IPR004194
PF07565	IPR013769
PF01145	IPR001107
PF06639	IPR009540
PF05529	IPR008417
PF03114	IPR004148
PF05786	
PF01337	IPR000468
PF00967	IPR001153
PF10455	IPR018859
PF10456	IPR019497
PF04865	IPR006949
PF01586	IPR002546
PF05466	IPR008408
PF07001	IPR009738
PF06968	IPR010722
PF08185	IPR012531
PF08031	IPR012951
PF06726	IPR018015
PF05700	IPR008409
PF02028	IPR000060
PF10436	IPR018955
PF07284	IPR009905
PF02327	IPR003426
PF00452	IPR000712
PF10514	IPR018868
PF08945	IPR015040
PF04714	IPR006804
PF09257	IPR015337
PF07572	IPR011421
PF09036	IPR015123
PF01869	IPR002731
PF08740	IPR014851
PF03170	IPR018513
PF05420	IPR008410
PF08072	IPR012532
PF10684	IPR019625
PF07936	IPR012414
PF06208	IPR009344
PF06515	IPR009485
PF06595	IPR009517
PF06407	IPR009441
PF02138	IPR000409
PF10523	IPR018379
PF03594	IPR004711
PF07255	IPR009884
PF05744	IPR008419
PF03019	
PF02944	IPR004210
PF01062	IPR021134
PF03494	IPR013803
PF00144	IPR001466
PF09270	IPR015350
PF10435	IPR018954
PF01212	IPR001597
PF09826	IPR019198
PF08667	IPR013975
PF00407	IPR000916
PF04538	IPR021156
PF02929	IPR004199
PF02180	IPR003093
PF10403	IPR018326
PF10404	IPR018327
PF10405	IPR018328
PF09730	IPR018477
PF06393	IPR010479
PF08319	
PF02369	IPR003344
PF02368	IPR003343
PF07523	IPR011080
PF07532	IPR011081
PF04775	IPR006862
PF09166	IPR015249
PF06773	IPR014771
PF06859	IPR010675
PF03496	IPR003540
PF03495	IPR003896
PF02084	IPR000775
PF08149	IPR012952
PF00351	IPR019774
PF02785	IPR005482
PF00364	IPR000089
PF03744	IPR005499
PF02632	IPR003784
PF06832	IPR009647
PF00653	IPR001370
PF04197	IPR007100
PF01766	IPR002662
PF01767	IPR002663
PF01768	IPR002664
PF03042	IPR004284
PF05858	IPR008411
PF03493	IPR003929
PF07467	IPR009099
PF10046	IPR019269
PF04940	IPR007024
PF06375	IPR010474
PF05289	IPR007953
PF00936	IPR000249
PF09146	IPR015229
PF09132	
PF02608	IPR003760
PF06553	IPR010548
PF02012	IPR002860
PF04076	IPR005220
PF07441	IPR010001
PF08977	IPR015071
PF01722	IPR002634
PF02044	IPR000874
PF05298	IPR007962
PF08096	IPR012534
PF04972	IPR007055
PF08145	IPR012953
PF10512	IPR018867
PF05714	IPR008421
PF06238	IPR009358
PF02414	IPR003459
PF02999	IPR004248
PF04160	IPR007289
PF05628	IPR008420
PF05262	IPR007926
PF03183	IPR004874
PF03978	IPR007126
PF05588	IPR008903
PF00228	IPR000877
PF08146	IPR012954
PF00528	IPR000515
PF02653	IPR001851
PF06139	IPR009310
PF02237	IPR003142
PF03099	IPR004143
PF09825	IPR019197
PF08947	IPR015042
PF06753	IPR009608
PF02485	IPR021141
PF05525	IPR004685
PF07576	IPR011422
PF09169	IPR015252
PF09103	IPR015187
PF09104	IPR015188
PF00634	IPR002093
PF00533	IPR001357
PF06113	IPR010358
PF08647	IPR013956
PF03032	IPR004275
PF07741	IPR011665
PF04089	IPR007084
PF04427	IPR007109
PF07533	IPR006576
PF09607	IPR018586
PF02498	IPR003497
PF03097	IPR004328
PF00439	IPR001487
PF01318	IPR002009
PF01573	IPR002538
PF07524	IPR006565
PF10104	IPR018767
PF05244	IPR007908
PF03909	IPR005607
PF07832	IPR012415
PF04450	IPR007541
PF05432	IPR008412
PF04743	
PF08201	IPR013161
PF10774	IPR019710
PF06616	IPR009528
PF03092	IPR004324
PF03704	IPR005158
PF00651	IPR013069
PF07742	IPR002087
PF00779	IPR001562
PF05232	IPR007896
PF03437	IPR005137
PF04514	IPR007602
PF09405	IPR018545
PF05560	IPR008423
PF09073	IPR015158
PF03401	IPR005064
PF04426	
PF04425	IPR007519
PF05307	IPR007971
PF03557	IPR005167
PF03563	IPR005168
PF01104	IPR000797
PF03231	IPR004915
PF04804	
PF00952	IPR001784
PF04196	IPR007322
PF03181	IPR004873
PF09792	
PF03309	IPR004619
PF04681	IPR006771
PF05291	IPR007955
PF00170	IPR011616
PF07716	IPR011700
PF03131	IPR004826
PF01453	IPR001480
PF08782	IPR014890
PF07654	IPR003597
PF00386	IPR001073
PF00130	IPR002219
PF03107	IPR004146
PF07649	IPR011424
PF07975	IPR004595
PF00168	IPR000008
PF05790	IPR008424
PF08205	IPR013162
PF01413	IPR001442
PF03595	IPR004695
PF06662	IPR010598
PF01681	IPR002601
PF10170	IPR018785
PF08742	IPR014853
PF09678	IPR019108
PF02743	IPR004010
PF08269	IPR013163
PF09732	IPR019134
PF10312	IPR018816
PF03596	IPR004676
PF00028	IPR002126
PF08266	IPR013164
PF01049	IPR000233
PF08758	IPR014868
PF09232	IPR015313
PF07440	IPR010000
PF04857	IPR006941
PF03507	IPR005169
PF03135	IPR018145
PF03524	IPR010258
PF07337	IPR010853
PF09053	IPR015139
PF03185	IPR003930
PF04847	IPR006931
PF07888	IPR012852
PF06387	IPR009431
PF00214	IPR021116
PF02029	IPR006018
PF05042	IPR007736
PF00915	IPR004005
PF08435	IPR013643
PF05752	IPR008437
PF08405	IPR013614
PF07887	IPR012416
PF01067	IPR022682
PF00748	IPR001259
PF00402	IPR000557
PF00262	IPR001580
PF05556	IPR008438
PF01216	IPR001393
PF03160	IPR003644
PF02888	IPR004178
PF08332	IPR013543
PF05538	IPR008439
PF07373	IPR010860
PF07537	IPR011426
PF10562	IPR018882
PF07839	IPR012417
PF05792	IPR008440
PF07918	IPR012418
PF04451	IPR007542
PF05159	IPR007833
PF05704	IPR008441
PF08603	IPR013912
PF01302	IPR000938
PF01213	IPR013992
PF01039	IPR000022
PF02977	IPR004231
PF05388	IPR008442
PF00194	IPR001148
PF10645	IPR018909
PF01256	IPR000631
PF08261	IPR013165
PF00619	IPR001315
PF07705	IPR011635
PF02559	IPR003711
PF01623	IPR002568
PF08462	IPR013669
PF00755	IPR000542
PF09150	IPR015233
PF06373	IPR009106
PF07779	IPR012419
PF09559	IPR014174
PF00363	IPR001588
PF00997	IPR000117
PF08172	IPR012955
PF10174	IPR019323
PF09651	IPR013442
PF09670	
PF09707	IPR010152
PF09705	
PF09704	IPR021124
PF09708	
PF09700	IPR019117
PF09701	IPR010160
PF09703	IPR010184
PF09702	IPR010157
PF09709	IPR010144
PF03378	IPR005043
PF09659	
PF09711	IPR010146
PF09620	IPR013409
PF09657	IPR013487
PF09658	IPR013488
PF09611	IPR013397
PF09614	IPR013398
PF09615	IPR013399
PF09618	IPR013396
PF09344	IPR010148
PF09706	IPR019121
PF09455	IPR019016
PF09617	IPR013403
PF09609	IPR019089
PF09623	IPR019092
PF09484	IPR013389
PF09530	IPR011742
PF09652	IPR013443
PF00302	IPR001707
PF00199	IPR018028
PF06628	IPR010582
PF00666	IPR001894
PF08773	IPR014882
PF00689	IPR006068
PF00690	IPR004014
PF01545	IPR002524
PF03123	IPR004341
PF04731	IPR006820
PF02413	IPR003458
PF03233	IPR004917
PF03310	IPR004986
PF01693	IPR011320
PF01146	IPR001612
PF04771	IPR006858
PF00774	
PF08763	IPR014873
PF02275	IPR003199
PF09672	
PF08406	IPR013615
PF03914	IPR005612
PF02045	IPR001289
PF00808	IPR003958
PF08143	IPR012956
PF02312	IPR003417
PF01656	IPR002586
PF02570	IPR003722
PF01888	IPR002748
PF01890	IPR002750
PF02571	IPR003723
PF06180	IPR010388
PF01891	IPR002751
PF02553	IPR003705
PF02361	IPR003339
PF01903	IPR002762
PF01955	IPR002808
PF07434	IPR010888
PF02262	IPR003153
PF02761	IPR014741
PF02762	IPR014742
PF09212	IPR015295
PF09478	IPR019028
PF00734	IPR000254
PF02013	IPR002883
PF03425	IPR005087
PF01607	IPR002557
PF03426	IPR005088
PF03424	IPR005086
PF03427	IPR005089
PF00553	IPR001919
PF00686	IPR002044
PF03370	IPR005036
PF03423	IPR005085
PF00942	IPR001956
PF02922	IPR004193
PF02018	IPR003305
PF02839	IPR003610
PF03422	IPR005084
PF06204	IPR009342
PF07960	IPR012420
PF00571	IPR000644
PF09490	
PF09489	IPR012667
PF04942	IPR007026
PF07860	IPR012421
PF07362	IPR009956
PF01845	IPR002712
PF02754	IPR004017
PF03379	IPR003544
PF04995	IPR007078
PF03100	IPR004329
PF03918	IPR005616
PF03597	IPR004714
PF03150	IPR004852
PF06203	IPR010402
PF09425	IPR018467
PF04103	IPR007237
PF04505	IPR007593
PF06365	IPR013836
PF01130	IPR002159
PF09191	IPR015274
PF04549	IPR013147
PF09283	
PF08045	IPR012535
PF06395	IPR010481
PF09507	IPR019038
PF08564	IPR013873
PF08565	IPR013874
PF03234	IPR013855
PF02724	IPR003874
PF02933	IPR004201
PF02359	IPR003338
PF03381	IPR005045
PF09079	IPR015163
PF05179	IPR007852
PF10563	IPR018883
PF02611	IPR003763
PF03598	IPR004461
PF03599	IPR016041
PF02234	IPR003175
PF09806	IPR019187
PF03261	IPR004944
PF05706	
PF05995	IPR010300
PF01066	IPR000462
PF08009	IPR012616
PF05174	IPR007847
PF08839	IPR014939
PF03498	IPR003558
PF00272	IPR000875
PF10729	IPR019666
PF02927	IPR004197
PF03500	
PF00150	IPR001547
PF03552	IPR005150
PF03040	IPR004282
PF10511	IPR019541
PF09026	IPR015115
PF04218	IPR006695
PF10473	IPR019513
PF10481	IPR018463
PF05837	IPR008426
PF09496	IPR018464
PF09091	
